State,Action,NextState
"(4380.75, 77.0, 4381.0, 1.0)",WAIT,"(4380.75, 77.0, 4381.0, 2.0)"
"(4380.75, 77.0, 4381.0, 2.0)",WAIT,"(4380.75, 77.0, 4381.0, 4.0)"
"(4380.75, 77.0, 4381.0, 4.0)",WAIT,"(4380.75, 77.0, 4381.0, 6.0)"
"(4380.75, 77.0, 4381.0, 6.0)",WAIT,"(4380.75, 77.0, 4381.0, 8.0)"
"(4380.75, 77.0, 4381.0, 8.0)",WAIT,"(4380.75, 77.0, 4381.0, 10.0)"
"(4380.75, 77.0, 4381.0, 10.0)",WAIT,"(4380.75, 77.0, 4381.0, 12.0)"
"(4380.75, 77.0, 4381.0, 12.0)",WAIT,"(4380.75, 77.0, 4381.0, 15.0)"
"(4380.75, 77.0, 4381.0, 15.0)",WAIT,"(4380.75, 77.0, 4381.0, 16.0)"
"(4380.75, 77.0, 4381.0, 16.0)",WAIT,"(4380.75, 77.0, 4381.0, 14.0)"
"(4380.75, 77.0, 4381.0, 14.0)",WAIT,"(4380.75, 72.0, 4381.0, 14.0)"
"(4380.75, 72.0, 4381.0, 14.0)",WAIT,"(4380.75, 73.0, 4381.0, 14.0)"
"(4380.75, 73.0, 4381.0, 14.0)",WAIT,"(4380.75, 73.0, 4381.0, 11.0)"
"(4380.75, 73.0, 4381.0, 11.0)",WAIT,"(4380.75, 73.0, 4381.0, 11.0)"
"(4380.75, 73.0, 4381.0, 11.0)",SELL,"(4380.75, 73.0, 4381.0, 6.0)"
"(4380.75, 73.0, 4381.0, 6.0)",WAIT,"(4380.75, 73.0, 4381.0, 4.0)"
"(4380.75, 73.0, 4381.0, 4.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 1.0)"
"(4380.75, 73.0, 4381.0, 1.0)",WAIT,"(4380.75, 73.0, 4381.25, 80.0)"
"(4380.75, 73.0, 4381.25, 80.0)",WAIT,"(4380.75, 73.0, 4381.0, 1.0)"
"(4380.75, 73.0, 4381.0, 1.0)",WAIT,"(4380.75, 74.0, 4381.0, 1.0)"
"(4380.75, 74.0, 4381.0, 1.0)",WAIT,"(4380.75, 73.0, 4381.0, 1.0)"
"(4380.75, 73.0, 4381.0, 1.0)",WAIT,"(4380.75, 73.0, 4381.0, 2.0)"
"(4380.75, 73.0, 4381.0, 2.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 78.0, 4381.0, 3.0)"
"(4380.75, 78.0, 4381.0, 3.0)",WAIT,"(4380.75, 78.0, 4381.0, 2.0)"
"(4380.75, 78.0, 4381.0, 2.0)",WAIT,"(4380.75, 78.0, 4381.0, 1.0)"
"(4380.75, 78.0, 4381.0, 1.0)",WAIT,"(4380.75, 78.0, 4381.25, 80.0)"
"(4380.75, 78.0, 4381.25, 80.0)",WAIT,"(4380.75, 79.0, 4381.25, 80.0)"
"(4380.75, 79.0, 4381.25, 80.0)",WAIT,"(4380.75, 74.0, 4381.25, 80.0)"
"(4380.75, 74.0, 4381.25, 80.0)",WAIT,"(4380.75, 75.0, 4381.25, 80.0)"
"(4380.75, 75.0, 4381.25, 80.0)",WAIT,"(4380.75, 75.0, 4381.25, 81.0)"
"(4380.75, 75.0, 4381.25, 81.0)",WAIT,"(4380.75, 75.0, 4381.0, 1.0)"
"(4380.75, 75.0, 4381.0, 1.0)",WAIT,"(4380.75, 75.0, 4381.0, 2.0)"
"(4380.75, 75.0, 4381.0, 2.0)",WAIT,"(4380.75, 74.0, 4381.0, 2.0)"
"(4380.75, 74.0, 4381.0, 2.0)",WAIT,"(4380.75, 74.0, 4381.0, 3.0)"
"(4380.75, 74.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 4.0)"
"(4380.75, 73.0, 4381.0, 4.0)",WAIT,"(4380.75, 73.0, 4381.0, 5.0)"
"(4380.75, 73.0, 4381.0, 5.0)",WAIT,"(4380.75, 78.0, 4381.0, 5.0)"
"(4380.75, 78.0, 4381.0, 5.0)",WAIT,"(4380.75, 78.0, 4381.0, 4.0)"
"(4380.75, 78.0, 4381.0, 4.0)",WAIT,"(4380.75, 78.0, 4381.0, 3.0)"
"(4380.75, 78.0, 4381.0, 3.0)",WAIT,"(4380.75, 78.0, 4381.0, 2.0)"
"(4380.75, 78.0, 4381.0, 2.0)",WAIT,"(4380.75, 78.0, 4381.0, 1.0)"
"(4380.75, 78.0, 4381.0, 1.0)",WAIT,"(4380.75, 78.0, 4381.0, 2.0)"
"(4380.75, 78.0, 4381.0, 2.0)",WAIT,"(4380.75, 78.0, 4381.0, 3.0)"
"(4380.75, 78.0, 4381.0, 3.0)",WAIT,"(4380.75, 78.0, 4381.0, 5.0)"
"(4380.75, 78.0, 4381.0, 5.0)",WAIT,"(4380.75, 78.0, 4381.0, 6.0)"
"(4380.75, 78.0, 4381.0, 6.0)",WAIT,"(4380.75, 78.0, 4381.0, 7.0)"
"(4380.75, 78.0, 4381.0, 7.0)",WAIT,"(4380.75, 78.0, 4381.0, 5.0)"
"(4380.75, 78.0, 4381.0, 5.0)",WAIT,"(4380.75, 78.0, 4381.0, 4.0)"
"(4380.75, 78.0, 4381.0, 4.0)",WAIT,"(4380.75, 78.0, 4381.0, 3.0)"
"(4380.75, 78.0, 4381.0, 3.0)",WAIT,"(4380.75, 78.0, 4381.0, 2.0)"
"(4380.75, 78.0, 4381.0, 2.0)",WAIT,"(4380.75, 78.0, 4381.0, 1.0)"
"(4380.75, 78.0, 4381.0, 1.0)",WAIT,"(4380.75, 78.0, 4381.0, 1.0)"
"(4380.75, 78.0, 4381.0, 1.0)",SELL,"(4381.0, 1.0, 4381.25, 81.0)"
"(4381.0, 1.0, 4381.25, 81.0)",WAIT,"(4381.0, 1.0, 4381.25, 80.0)"
"(4381.0, 1.0, 4381.25, 80.0)",WAIT,"(4381.0, 1.0, 4381.25, 77.0)"
"(4381.0, 1.0, 4381.25, 77.0)",WAIT,"(4381.0, 1.0, 4381.25, 77.0)"
"(4381.0, 1.0, 4381.25, 77.0)",SELL,"(4380.75, 73.0, 4381.25, 77.0)"
"(4380.75, 73.0, 4381.25, 77.0)",WAIT,"(4380.75, 73.0, 4381.0, 1.0)"
"(4380.75, 73.0, 4381.0, 1.0)",WAIT,"(4380.75, 73.0, 4381.0, 2.0)"
"(4380.75, 73.0, 4381.0, 2.0)",WAIT,"(4380.75, 73.0, 4381.0, 4.0)"
"(4380.75, 73.0, 4381.0, 4.0)",WAIT,"(4380.75, 74.0, 4381.0, 4.0)"
"(4380.75, 74.0, 4381.0, 4.0)",WAIT,"(4380.75, 73.0, 4381.0, 4.0)"
"(4380.75, 73.0, 4381.0, 4.0)",WAIT,"(4380.75, 73.0, 4381.0, 5.0)"
"(4380.75, 73.0, 4381.0, 5.0)",WAIT,"(4380.75, 73.0, 4381.0, 6.0)"
"(4380.75, 73.0, 4381.0, 6.0)",WAIT,"(4380.75, 73.0, 4381.0, 5.0)"
"(4380.75, 73.0, 4381.0, 5.0)",WAIT,"(4380.75, 73.0, 4381.0, 6.0)"
"(4380.75, 73.0, 4381.0, 6.0)",WAIT,"(4380.75, 73.0, 4381.0, 7.0)"
"(4380.75, 73.0, 4381.0, 7.0)",WAIT,"(4380.75, 73.0, 4381.0, 10.0)"
"(4380.75, 73.0, 4381.0, 10.0)",WAIT,"(4380.75, 73.0, 4381.0, 12.0)"
"(4380.75, 73.0, 4381.0, 12.0)",WAIT,"(4380.75, 73.0, 4381.0, 13.0)"
"(4380.75, 73.0, 4381.0, 13.0)",WAIT,"(4380.75, 73.0, 4381.0, 14.0)"
"(4380.75, 73.0, 4381.0, 14.0)",WAIT,"(4380.75, 73.0, 4381.0, 13.0)"
"(4380.75, 73.0, 4381.0, 13.0)",WAIT,"(4380.75, 73.0, 4381.0, 12.0)"
"(4380.75, 73.0, 4381.0, 12.0)",WAIT,"(4380.75, 74.0, 4381.0, 12.0)"
"(4380.75, 74.0, 4381.0, 12.0)",WAIT,"(4380.75, 74.0, 4381.0, 11.0)"
"(4380.75, 74.0, 4381.0, 11.0)",WAIT,"(4380.75, 74.0, 4381.0, 9.0)"
"(4380.75, 74.0, 4381.0, 9.0)",WAIT,"(4380.75, 74.0, 4381.0, 6.0)"
"(4380.75, 74.0, 4381.0, 6.0)",WAIT,"(4380.75, 74.0, 4381.0, 5.0)"
"(4380.75, 74.0, 4381.0, 5.0)",WAIT,"(4380.75, 74.0, 4381.0, 4.0)"
"(4380.75, 74.0, 4381.0, 4.0)",WAIT,"(4380.75, 74.0, 4381.0, 3.0)"
"(4380.75, 74.0, 4381.0, 3.0)",WAIT,"(4380.75, 74.0, 4381.0, 4.0)"
"(4380.75, 74.0, 4381.0, 4.0)",WAIT,"(4380.75, 74.0, 4381.0, 7.0)"
"(4380.75, 74.0, 4381.0, 7.0)",WAIT,"(4380.75, 74.0, 4381.0, 8.0)"
"(4380.75, 74.0, 4381.0, 8.0)",WAIT,"(4380.75, 74.0, 4381.0, 10.0)"
"(4380.75, 74.0, 4381.0, 10.0)",WAIT,"(4380.75, 74.0, 4381.0, 13.0)"
"(4380.75, 74.0, 4381.0, 13.0)",WAIT,"(4380.75, 74.0, 4381.0, 15.0)"
"(4380.75, 74.0, 4381.0, 15.0)",WAIT,"(4380.75, 74.0, 4381.0, 16.0)"
"(4380.75, 74.0, 4381.0, 16.0)",WAIT,"(4380.75, 74.0, 4381.0, 13.0)"
"(4380.75, 74.0, 4381.0, 13.0)",WAIT,"(4380.75, 74.0, 4381.0, 12.0)"
"(4380.75, 74.0, 4381.0, 12.0)",WAIT,"(4380.75, 74.0, 4381.0, 13.0)"
"(4380.75, 74.0, 4381.0, 13.0)",WAIT,"(4380.75, 74.0, 4381.0, 15.0)"
"(4380.75, 74.0, 4381.0, 15.0)",WAIT,"(4380.75, 74.0, 4381.0, 19.0)"
"(4380.75, 74.0, 4381.0, 19.0)",WAIT,"(4380.75, 70.0, 4381.0, 19.0)"
"(4380.75, 70.0, 4381.0, 19.0)",WAIT,"(4380.75, 70.0, 4381.0, 20.0)"
"(4380.75, 70.0, 4381.0, 20.0)",WAIT,"(4380.75, 70.0, 4381.0, 21.0)"
"(4380.75, 70.0, 4381.0, 21.0)",WAIT,"(4380.75, 70.0, 4381.0, 24.0)"
"(4380.75, 70.0, 4381.0, 24.0)",WAIT,"(4380.75, 69.0, 4381.0, 24.0)"
"(4380.75, 69.0, 4381.0, 24.0)",WAIT,"(4380.75, 69.0, 4381.0, 25.0)"
"(4380.75, 69.0, 4381.0, 25.0)",WAIT,"(4380.75, 69.0, 4381.0, 26.0)"
"(4380.75, 69.0, 4381.0, 26.0)",WAIT,"(4380.75, 69.0, 4381.0, 27.0)"
"(4380.75, 69.0, 4381.0, 27.0)",WAIT,"(4380.75, 69.0, 4381.0, 28.0)"
"(4380.75, 69.0, 4381.0, 28.0)",WAIT,"(4380.75, 69.0, 4381.0, 30.0)"
"(4380.75, 69.0, 4381.0, 30.0)",WAIT,"(4380.75, 69.0, 4381.0, 32.0)"
"(4380.75, 69.0, 4381.0, 32.0)",WAIT,"(4380.75, 69.0, 4381.0, 33.0)"
"(4380.75, 69.0, 4381.0, 33.0)",WAIT,"(4380.75, 68.0, 4381.0, 33.0)"
"(4380.75, 68.0, 4381.0, 33.0)",WAIT,"(4380.75, 67.0, 4381.0, 33.0)"
"(4380.75, 67.0, 4381.0, 33.0)",WAIT,"(4380.75, 66.0, 4381.0, 33.0)"
"(4380.75, 66.0, 4381.0, 33.0)",WAIT,"(4380.75, 65.0, 4381.0, 33.0)"
"(4380.75, 65.0, 4381.0, 33.0)",WAIT,"(4380.75, 64.0, 4381.0, 33.0)"
"(4380.75, 64.0, 4381.0, 33.0)",WAIT,"(4380.75, 63.0, 4381.0, 33.0)"
"(4380.75, 63.0, 4381.0, 33.0)",WAIT,"(4380.75, 63.0, 4381.0, 34.0)"
"(4380.75, 63.0, 4381.0, 34.0)",WAIT,"(4380.75, 62.0, 4381.0, 34.0)"
"(4380.75, 62.0, 4381.0, 34.0)",WAIT,"(4380.75, 61.0, 4381.0, 34.0)"
"(4380.75, 61.0, 4381.0, 34.0)",WAIT,"(4380.75, 61.0, 4381.0, 35.0)"
"(4380.75, 61.0, 4381.0, 35.0)",WAIT,"(4380.75, 61.0, 4381.0, 36.0)"
"(4380.75, 61.0, 4381.0, 36.0)",WAIT,"(4380.75, 61.0, 4381.0, 37.0)"
"(4380.75, 61.0, 4381.0, 37.0)",WAIT,"(4380.75, 61.0, 4381.0, 38.0)"
"(4380.75, 61.0, 4381.0, 38.0)",WAIT,"(4380.75, 61.0, 4381.0, 39.0)"
"(4380.75, 61.0, 4381.0, 39.0)",WAIT,"(4380.75, 61.0, 4381.0, 38.0)"
"(4380.75, 61.0, 4381.0, 38.0)",WAIT,"(4380.75, 60.0, 4381.0, 38.0)"
"(4380.75, 60.0, 4381.0, 38.0)",WAIT,"(4380.75, 61.0, 4381.0, 38.0)"
"(4380.75, 61.0, 4381.0, 38.0)",WAIT,"(4380.75, 60.0, 4381.0, 38.0)"
"(4380.75, 60.0, 4381.0, 38.0)",WAIT,"(4380.75, 58.0, 4381.0, 38.0)"
"(4380.75, 58.0, 4381.0, 38.0)",WAIT,"(4380.75, 57.0, 4381.0, 38.0)"
"(4380.75, 57.0, 4381.0, 38.0)",WAIT,"(4380.75, 57.0, 4381.0, 39.0)"
"(4380.75, 57.0, 4381.0, 39.0)",WAIT,"(4380.75, 58.0, 4381.0, 39.0)"
"(4380.75, 58.0, 4381.0, 39.0)",WAIT,"(4380.75, 58.0, 4381.0, 37.0)"
"(4380.75, 58.0, 4381.0, 37.0)",WAIT,"(4380.75, 58.0, 4381.0, 35.0)"
"(4380.75, 58.0, 4381.0, 35.0)",WAIT,"(4380.75, 59.0, 4381.0, 35.0)"
"(4380.75, 59.0, 4381.0, 35.0)",WAIT,"(4380.75, 60.0, 4381.0, 35.0)"
"(4380.75, 60.0, 4381.0, 35.0)",WAIT,"(4380.75, 61.0, 4381.0, 35.0)"
"(4380.75, 61.0, 4381.0, 35.0)",WAIT,"(4380.75, 62.0, 4381.0, 35.0)"
"(4380.75, 62.0, 4381.0, 35.0)",WAIT,"(4380.75, 63.0, 4381.0, 35.0)"
"(4380.75, 63.0, 4381.0, 35.0)",WAIT,"(4380.75, 63.0, 4381.0, 34.0)"
"(4380.75, 63.0, 4381.0, 34.0)",WAIT,"(4380.75, 63.0, 4381.0, 33.0)"
"(4380.75, 63.0, 4381.0, 33.0)",WAIT,"(4380.75, 64.0, 4381.0, 33.0)"
"(4380.75, 64.0, 4381.0, 33.0)",WAIT,"(4380.75, 64.0, 4381.0, 35.0)"
"(4380.75, 64.0, 4381.0, 35.0)",WAIT,"(4380.75, 64.0, 4381.0, 37.0)"
"(4380.75, 64.0, 4381.0, 37.0)",WAIT,"(4380.75, 65.0, 4381.0, 37.0)"
"(4380.75, 65.0, 4381.0, 37.0)",WAIT,"(4380.75, 65.0, 4381.0, 35.0)"
"(4380.75, 65.0, 4381.0, 35.0)",WAIT,"(4380.75, 65.0, 4381.0, 34.0)"
"(4380.75, 65.0, 4381.0, 34.0)",WAIT,"(4380.75, 65.0, 4381.0, 33.0)"
"(4380.75, 65.0, 4381.0, 33.0)",WAIT,"(4380.75, 65.0, 4381.0, 30.0)"
"(4380.75, 65.0, 4381.0, 30.0)",WAIT,"(4380.75, 67.0, 4381.0, 30.0)"
"(4380.75, 67.0, 4381.0, 30.0)",WAIT,"(4380.75, 67.0, 4381.0, 28.0)"
"(4380.75, 67.0, 4381.0, 28.0)",WAIT,"(4380.75, 67.0, 4381.0, 27.0)"
"(4380.75, 67.0, 4381.0, 27.0)",WAIT,"(4380.75, 67.0, 4381.0, 26.0)"
"(4380.75, 67.0, 4381.0, 26.0)",WAIT,"(4380.75, 67.0, 4381.0, 22.0)"
"(4380.75, 67.0, 4381.0, 22.0)",WAIT,"(4380.75, 67.0, 4381.0, 21.0)"
"(4380.75, 67.0, 4381.0, 21.0)",WAIT,"(4380.75, 67.0, 4381.0, 19.0)"
"(4380.75, 67.0, 4381.0, 19.0)",WAIT,"(4380.75, 67.0, 4381.0, 19.0)"
"(4380.75, 67.0, 4381.0, 19.0)",SELL,"(4380.75, 66.0, 4381.0, 18.0)"
"(4380.75, 66.0, 4381.0, 18.0)",WAIT,"(4380.75, 66.0, 4381.0, 17.0)"
"(4380.75, 66.0, 4381.0, 17.0)",WAIT,"(4380.75, 66.0, 4381.0, 15.0)"
"(4380.75, 66.0, 4381.0, 15.0)",WAIT,"(4380.75, 66.0, 4381.0, 14.0)"
"(4380.75, 66.0, 4381.0, 14.0)",WAIT,"(4380.75, 67.0, 4381.0, 14.0)"
"(4380.75, 67.0, 4381.0, 14.0)",WAIT,"(4380.75, 67.0, 4381.0, 13.0)"
"(4380.75, 67.0, 4381.0, 13.0)",WAIT,"(4380.75, 68.0, 4381.0, 13.0)"
"(4380.75, 68.0, 4381.0, 13.0)",WAIT,"(4380.75, 68.0, 4381.0, 11.0)"
"(4380.75, 68.0, 4381.0, 11.0)",WAIT,"(4380.75, 68.0, 4381.0, 8.0)"
"(4380.75, 68.0, 4381.0, 8.0)",WAIT,"(4380.75, 68.0, 4381.0, 7.0)"
"(4380.75, 68.0, 4381.0, 7.0)",WAIT,"(4380.75, 68.0, 4381.0, 6.0)"
"(4380.75, 68.0, 4381.0, 6.0)",WAIT,"(4380.75, 68.0, 4381.0, 5.0)"
"(4380.75, 68.0, 4381.0, 5.0)",WAIT,"(4380.75, 67.0, 4381.0, 5.0)"
"(4380.75, 67.0, 4381.0, 5.0)",WAIT,"(4380.75, 67.0, 4381.0, 6.0)"
"(4380.75, 67.0, 4381.0, 6.0)",WAIT,"(4380.75, 67.0, 4381.0, 7.0)"
"(4380.75, 67.0, 4381.0, 7.0)",WAIT,"(4380.75, 67.0, 4381.0, 8.0)"
"(4380.75, 67.0, 4381.0, 8.0)",WAIT,"(4380.75, 67.0, 4381.0, 11.0)"
"(4380.75, 67.0, 4381.0, 11.0)",WAIT,"(4380.75, 67.0, 4381.0, 13.0)"
"(4380.75, 67.0, 4381.0, 13.0)",WAIT,"(4380.75, 67.0, 4381.0, 14.0)"
"(4380.75, 67.0, 4381.0, 14.0)",WAIT,"(4380.75, 67.0, 4381.0, 16.0)"
"(4380.75, 67.0, 4381.0, 16.0)",WAIT,"(4380.75, 67.0, 4381.0, 17.0)"
"(4380.75, 67.0, 4381.0, 17.0)",WAIT,"(4380.75, 67.0, 4381.0, 18.0)"
"(4380.75, 67.0, 4381.0, 18.0)",WAIT,"(4380.75, 67.0, 4381.0, 19.0)"
"(4380.75, 67.0, 4381.0, 19.0)",WAIT,"(4380.75, 67.0, 4381.0, 17.0)"
"(4380.75, 67.0, 4381.0, 17.0)",WAIT,"(4380.75, 67.0, 4381.0, 16.0)"
"(4380.75, 67.0, 4381.0, 16.0)",WAIT,"(4380.75, 67.0, 4381.0, 15.0)"
"(4380.75, 67.0, 4381.0, 15.0)",WAIT,"(4380.75, 67.0, 4381.0, 16.0)"
"(4380.75, 67.0, 4381.0, 16.0)",WAIT,"(4380.75, 67.0, 4381.0, 13.0)"
"(4380.75, 67.0, 4381.0, 13.0)",WAIT,"(4380.75, 67.0, 4381.0, 12.0)"
"(4380.75, 67.0, 4381.0, 12.0)",WAIT,"(4380.75, 67.0, 4381.0, 14.0)"
"(4380.75, 67.0, 4381.0, 14.0)",WAIT,"(4380.75, 67.0, 4381.0, 15.0)"
"(4380.75, 67.0, 4381.0, 15.0)",WAIT,"(4380.75, 67.0, 4381.0, 16.0)"
"(4380.75, 67.0, 4381.0, 16.0)",WAIT,"(4380.75, 67.0, 4381.0, 17.0)"
"(4380.75, 67.0, 4381.0, 17.0)",WAIT,"(4380.75, 67.0, 4381.0, 20.0)"
"(4380.75, 67.0, 4381.0, 20.0)",WAIT,"(4380.75, 67.0, 4381.0, 21.0)"
"(4380.75, 67.0, 4381.0, 21.0)",WAIT,"(4380.75, 67.0, 4381.0, 22.0)"
"(4380.75, 67.0, 4381.0, 22.0)",WAIT,"(4380.75, 67.0, 4381.0, 26.0)"
"(4380.75, 67.0, 4381.0, 26.0)",WAIT,"(4380.75, 66.0, 4381.0, 26.0)"
"(4380.75, 66.0, 4381.0, 26.0)",WAIT,"(4380.75, 66.0, 4381.0, 27.0)"
"(4380.75, 66.0, 4381.0, 27.0)",WAIT,"(4380.75, 65.0, 4381.0, 27.0)"
"(4380.75, 65.0, 4381.0, 27.0)",WAIT,"(4380.75, 65.0, 4381.0, 26.0)"
"(4380.75, 65.0, 4381.0, 26.0)",WAIT,"(4380.75, 65.0, 4381.0, 26.0)"
"(4380.75, 65.0, 4381.0, 26.0)",SELL,"(4380.75, 65.0, 4381.0, 24.0)"
"(4380.75, 65.0, 4381.0, 24.0)",WAIT,"(4380.75, 65.0, 4381.0, 23.0)"
"(4380.75, 65.0, 4381.0, 23.0)",WAIT,"(4380.75, 65.0, 4381.0, 21.0)"
"(4380.75, 65.0, 4381.0, 21.0)",WAIT,"(4380.75, 65.0, 4381.0, 20.0)"
"(4380.75, 65.0, 4381.0, 20.0)",WAIT,"(4380.75, 65.0, 4381.0, 19.0)"
"(4380.75, 65.0, 4381.0, 19.0)",WAIT,"(4380.75, 65.0, 4381.0, 15.0)"
"(4380.75, 65.0, 4381.0, 15.0)",WAIT,"(4380.75, 66.0, 4381.0, 15.0)"
"(4380.75, 66.0, 4381.0, 15.0)",WAIT,"(4380.75, 66.0, 4381.0, 14.0)"
"(4380.75, 66.0, 4381.0, 14.0)",WAIT,"(4380.75, 66.0, 4381.0, 13.0)"
"(4380.75, 66.0, 4381.0, 13.0)",WAIT,"(4380.75, 66.0, 4381.0, 10.0)"
"(4380.75, 66.0, 4381.0, 10.0)",WAIT,"(4380.75, 66.0, 4381.0, 8.0)"
"(4380.75, 66.0, 4381.0, 8.0)",WAIT,"(4380.75, 66.0, 4381.0, 7.0)"
"(4380.75, 66.0, 4381.0, 7.0)",WAIT,"(4380.75, 66.0, 4381.0, 6.0)"
"(4380.75, 66.0, 4381.0, 6.0)",WAIT,"(4380.75, 66.0, 4381.0, 5.0)"
"(4380.75, 66.0, 4381.0, 5.0)",WAIT,"(4380.75, 66.0, 4381.0, 6.0)"
"(4380.75, 66.0, 4381.0, 6.0)",WAIT,"(4380.75, 66.0, 4381.0, 7.0)"
"(4380.75, 66.0, 4381.0, 7.0)",WAIT,"(4380.75, 66.0, 4381.0, 6.0)"
"(4380.75, 66.0, 4381.0, 6.0)",WAIT,"(4380.75, 66.0, 4381.0, 5.0)"
"(4380.75, 66.0, 4381.0, 5.0)",WAIT,"(4380.75, 66.0, 4381.0, 7.0)"
"(4380.75, 66.0, 4381.0, 7.0)",WAIT,"(4380.75, 66.0, 4381.0, 5.0)"
"(4380.75, 66.0, 4381.0, 5.0)",WAIT,"(4380.75, 66.0, 4381.0, 4.0)"
"(4380.75, 66.0, 4381.0, 4.0)",WAIT,"(4380.75, 66.0, 4381.0, 5.0)"
"(4380.75, 66.0, 4381.0, 5.0)",WAIT,"(4380.75, 66.0, 4381.0, 6.0)"
"(4380.75, 66.0, 4381.0, 6.0)",WAIT,"(4380.75, 66.0, 4381.0, 9.0)"
"(4380.75, 66.0, 4381.0, 9.0)",WAIT,"(4380.75, 66.0, 4381.0, 11.0)"
"(4380.75, 66.0, 4381.0, 11.0)",WAIT,"(4380.75, 66.0, 4381.0, 11.0)"
"(4380.75, 66.0, 4381.0, 11.0)",SELL,"(4380.75, 66.0, 4381.25, 80.0)"
"(4380.75, 66.0, 4381.25, 80.0)",WAIT,"(4381.0, 3.0, 4381.25, 80.0)"
"(4381.0, 3.0, 4381.25, 80.0)",WAIT,"(4381.0, 3.0, 4381.25, 79.0)"
"(4381.0, 3.0, 4381.25, 79.0)",WAIT,"(4381.0, 3.0, 4381.25, 82.0)"
"(4381.0, 3.0, 4381.25, 82.0)",WAIT,"(4381.0, 3.0, 4381.25, 79.0)"
"(4381.0, 3.0, 4381.25, 79.0)",WAIT,"(4381.0, 4.0, 4381.25, 79.0)"
"(4381.0, 4.0, 4381.25, 79.0)",WAIT,"(4381.0, 4.0, 4381.25, 79.0)"
"(4381.0, 4.0, 4381.25, 79.0)",SELL,"(4381.0, 2.0, 4381.25, 79.0)"
"(4381.0, 2.0, 4381.25, 79.0)",WAIT,"(4381.0, 3.0, 4381.25, 79.0)"
"(4381.0, 3.0, 4381.25, 79.0)",WAIT,"(4381.0, 3.0, 4381.25, 79.0)"
"(4381.0, 3.0, 4381.25, 79.0)",SELL,"(4381.0, 2.0, 4381.25, 79.0)"
"(4381.0, 2.0, 4381.25, 79.0)",WAIT,"(4381.0, 2.0, 4381.25, 79.0)"
"(4381.0, 2.0, 4381.25, 79.0)",SELL,"(4381.0, 1.0, 4381.25, 79.0)"
"(4381.0, 1.0, 4381.25, 79.0)",WAIT,"(4381.0, 1.0, 4381.25, 79.0)"
"(4381.0, 1.0, 4381.25, 79.0)",SELL,"(4380.75, 72.0, 4381.25, 79.0)"
"(4380.75, 72.0, 4381.25, 79.0)",WAIT,"(4380.75, 72.0, 4381.0, 3.0)"
"(4380.75, 72.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 72.0, 4381.0, 3.0)"
"(4380.75, 72.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 4.0)"
"(4380.75, 73.0, 4381.0, 4.0)",WAIT,"(4380.75, 73.0, 4381.0, 7.0)"
"(4380.75, 73.0, 4381.0, 7.0)",WAIT,"(4380.75, 73.0, 4381.0, 8.0)"
"(4380.75, 73.0, 4381.0, 8.0)",WAIT,"(4380.75, 73.0, 4381.0, 9.0)"
"(4380.75, 73.0, 4381.0, 9.0)",WAIT,"(4380.75, 73.0, 4381.0, 6.0)"
"(4380.75, 73.0, 4381.0, 6.0)",WAIT,"(4380.75, 73.0, 4381.0, 3.0)"
"(4380.75, 73.0, 4381.0, 3.0)",WAIT,"(4380.75, 73.0, 4381.0, 2.0)"
"(4380.75, 73.0, 4381.0, 2.0)",WAIT,"(4380.75, 74.0, 4381.0, 2.0)"
"(4380.75, 74.0, 4381.0, 2.0)",WAIT,"(4380.75, 74.0, 4381.0, 1.0)"
"(4380.75, 74.0, 4381.0, 1.0)",WAIT,"(4380.75, 74.0, 4381.25, 80.0)"
"(4380.75, 74.0, 4381.25, 80.0)",WAIT,"(4380.75, 75.0, 4381.25, 80.0)"
"(4380.75, 75.0, 4381.25, 80.0)",WAIT,"(4380.75, 76.0, 4381.25, 80.0)"
"(4380.75, 76.0, 4381.25, 80.0)",WAIT,"(4380.75, 76.0, 4381.0, 1.0)"
"(4380.75, 76.0, 4381.0, 1.0)",WAIT,"(4380.75, 75.0, 4381.0, 1.0)"
"(4380.75, 75.0, 4381.0, 1.0)",WAIT,"(4380.75, 74.0, 4381.0, 1.0)"
"(4380.75, 74.0, 4381.0, 1.0)",WAIT,"(4380.75, 74.0, 4381.0, 2.0)"
"(4380.75, 74.0, 4381.0, 2.0)",WAIT,"(4380.75, 74.0, 4381.0, 3.0)"
"(4380.75, 74.0, 4381.0, 3.0)",WAIT,"(4380.75, 74.0, 4381.0, 4.0)"
"(4380.75, 74.0, 4381.0, 4.0)",WAIT,"(4380.75, 74.0, 4381.0, 5.0)"
